"Mass","formula","HC","OC"
201.9521456,"C9H2O1N1S1P1",0.22,0.11
211.0611739,"C10H12O5",1.2,0.5
211.1564276,"C10H20O1N4",2,0.1
212.0514795,"C6H16O3N1S1P1",2.67,0.5
212.9595142,"C7H3O6P1",0.43,0.86
213.0910422,"C8H15O1N4P1",1.88,0.12
215.1110508,"C11H20O2S1",1.82,0.18
216.963183,"C9H3O1N2S1P1",0.33,0.11
217.0366338,"C9H6O3N4",0.67,0.33
220.0379351,"C7H12O5N1P1",1.71,0.71
221.0349151,"C5H10O4N4S1",2,0.8
223.064674,"C8H16O5S1",2,0.62
225.9403691,"C4H6O4N1S2P1",1.5,1
225.9637758,"C8H5O3N1S2",0.62,0.38
225.9815648,"C8H5O5N1S1",0.62,0.62
228.0906408,"C9H16O2N3P1",1.78,0.22
234.981819,"C9H4O4N2S1",0.44,0.44
235.0798007,"C13H16O2S1",1.23,0.15
235.9973215,"C7H12O2N1S2P1",1.71,0.29
239.067439,"C10H12O5N2",1.2,0.5
240.9728741,"C9H7O4S1P1",0.78,0.44
241.9504733,"C8H6O2N1S2P1",0.75,0.25
245.0882748,"C10H19O1N2S1P1",1.9,0.1
245.1173403,"C9H19O2N4P1",2.11,0.22
245.1394922,"C12H22O5",1.83,0.42
246.9918109,"C8H8O7S1",1,0.88
247.0754169,"C11H13O1N4P1",1.18,0.09
248.0845305,"C13H16O2N1P1",1.23,0.15
248.9238692,"C10H3O2S2P1",0.3,0.2
251.0746572,"C13H16O3S1",1.23,0.23
253.0856015,"C10H23O1S2P1",2.3,0.1
255.0499391,"C5H13O6N4P1",2.6,1.2
255.10196,"C8H20O5N2S1",2.5,0.62
257.0067272,"C17H6O1S1",0.35,0.06
257.1103155,"C6H18O7N4",3,1.17
258.0171731,"C9H10O6N1P1",1.11,0.67
258.9487621,"C7H4O5N2S2",0.57,0.71
259.1563832,"C14H20O1N4",1.43,0.07
260.0152765,"C9H12O4N1S1P1",1.33,0.44
261.9658987,"C9H2O5N3P1",0.22,0.56
262.1365352,"C15H22O1N1P1",1.47,0.07
263.0923858,"C14H16O5",1.14,0.36
264.0331531,"C14H8O1N3P1",0.57,0.07
264.0370893,"C9H15O4N1S2",1.67,0.44
264.0430899,"C12H12O4N1P1",1,0.33
264.0449338,"C11H11O3N3S1",1,0.27
264.0454394,"C19H7O1N1",0.37,0.05
264.046603,"C9H16O4N1S1P1",1.78,0.44
264.0472191,"C7H11O8N3",1.57,1.14
264.048314,"C8H15O3N3S2",1.88,0.38
264.0487875,"C16H11O1N1S1",0.69,0.06
264.0489881,"C16H11O1N1S1",0.69,0.06
264.0512466,"C12H11O6N1",0.92,0.5
264.0521028,"C13H15O1N1S2",1.15,0.08
264.0526686,"C13H7O2N5",0.54,0.15
264.0543725,"C11H12O3N3P1",1.09,0.27
264.0546463,"C9H15O6N1S1",1.67,0.67
264.057712,"C8H16O3N3S1P1",2,0.38
264.062695,"C11H11O5N3",1,0.45
264.0643341,"C9H16O6N1P1",1.78,0.67
264.0651556,"C10H20O1N1S2P1",2,0.1
264.0660506,"C8H15O5N3S1",1.88,0.62
264.0667473,"C16H11O3N1",0.69,0.19
264.070007,"C13H15O3N1S1",1.15,0.23
264.0877622,"C13H15O5N1",1.15,0.38
264.0890641,"C14H11O1N5",0.79,0.07
264.0940822,"C9H20O2N3S1P1",2.22,0.22
264.1022312,"C9H19O4N3S1",2.11,0.44
264.1062842,"C14H19O2N1S1",1.36,0.14
264.1064962,"C14H19O2N1S1",1.36,0.14
264.1089136,"C10H19O7N1",1.9,0.7
264.1118032,"C9H20O4N3P1",2.22,0.44
264.1143585,"C16H15O1N3",0.94,0.06
264.1158316,"C14H20O2N1P1",1.43,0.14
264.1193904,"C11H24O2N1S1P1",2.18,0.18
264.120035,"C9H19O6N3",2.11,0.67
264.1208447,"C10H23O1N3S2",2.3,0.1
264.1210268,"C10H23O1N3S2",2.3,0.1
264.1240954,"C14H19O4N1",1.36,0.29
264.1269992,"C13H20O1N3P1",1.54,0.08
264.1313627,"C8H19O5N5",2.38,0.62
264.1676463,"C9H23O4N5",2.56,0.44
265.035305,"C12H10O7",0.83,0.58
265.071769,"C13H14O6",1.08,0.46
266.0452336,"C7H13O6N3S1",1.86,0.86
267.0509475,"C12H12O7",1,0.58
267.0873573,"C13H16O6",1.23,0.46
267.1238175,"C14H20O5",1.43,0.36
269.0667452,"C12H14O7",1.17,0.58
269.1030787,"C13H18O6",1.38,0.46
271.0248618,"C14H8O6",0.57,0.43
271.0610853,"C15H12O5",0.8,0.33
271.0822703,"C12H16O7",1.33,0.58
271.0975318,"C16H16O4",1,0.25
271.1187066,"C13H20O6",1.54,0.46
273.0088675,"C11H6O3N4S1",0.55,0.27
273.0404589,"C14H10O6",0.71,0.43
273.0767659,"C15H14O5",0.93,0.33
273.1132585,"C16H18O4",1.12,0.25
273.1343285,"C13H22O6",1.69,0.46
274.9709704,"C7H5O8N2P1",0.71,1.14
275.019756,"C13H8O7",0.62,0.54
275.0550743,"C8H13O5N4P1",1.62,0.62
275.0561277,"C14H12O6",0.86,0.43
275.0915773,"C9H17O4N4P1",1.89,0.44
275.0924712,"C15H16O5",1.07,0.33
275.1288147,"C16H20O4",1.25,0.25
275.9760558,"C15H3O3N1S1",0.2,0.2
275.9969102,"C14H4O2N3P1",0.29,0.14
275.9973382,"C12H7O5N1S1",0.58,0.42
276.0001802,"C11H8O2N3S1P1",0.73,0.18
276.0005058,"C9H11O5N1S2",1.22,0.56
276.0006816,"C9H11O5N1S2",1.22,0.56
276.001046,"C9H3O6N5",0.33,0.67
276.0133982,"C6H16O5N1S2P1",2.67,0.83
276.0261161,"C11H7O6N3",0.64,0.55
276.0733012,"C11H19O3N1S2",1.73,0.27
276.0755581,"C9H16O5N3P1",1.78,0.56
276.1201168,"C10H19O6N3",1.9,0.6
276.1750823,"C12H27O2N3S1",2.25,0.17
277.0303913,"C10H15O5S1P1",1.5,0.5
277.0353489,"C13H10O7",0.77,0.54
277.0717757,"C14H14O6",1,0.43
277.108159,"C15H18O5",1.2,0.33
277.1445254,"C16H22O4",1.38,0.25
277.1799928,"C11H27O2N4P1",2.45,0.18
277.1808465,"C17H26O3",1.53,0.18
279.0146239,"C12H8O8",0.67,0.67
279.0501,"C7H13O6N4P1",1.86,0.86
279.0509911,"C13H12O7",0.92,0.54
279.0873934,"C14H16O6",1.14,0.43
279.1238084,"C15H20O5",1.33,0.33
280.9137828,"C10H3O4S2P1",0.3,0.4
281.0303205,"C12H10O8",0.83,0.67
281.0528368,"C10H10O6N4",1,0.6
281.0666485,"C13H14O7",1.08,0.54
281.1030596,"C14H18O6",1.29,0.43
281.1059196,"C13H19O3N2P1",1.46,0.23
281.1394636,"C15H22O5",1.47,0.33
281.175865,"C16H26O4",1.62,0.25
283.0094457,"C11H8O9",0.73,0.82
283.0248074,"C15H8O6",0.53,0.4
283.0459687,"C12H12O8",1,0.67
283.0605463,"C8H16O7N2S1",2,0.88
283.0611946,"C16H12O5",0.75,0.31
283.0823662,"C13H16O7",1.23,0.54
283.0976997,"C17H16O4",0.94,0.24
283.1186974,"C14H20O6",1.43,0.43
283.1550623,"C15H24O5",1.6,0.33
283.2641915,"C18H36O2",2,0.11
283.2643905,"C18H36O2",2,0.11
285.004034,"C14H6O7",0.43,0.5
285.0252448,"C11H10O9",0.91,0.82
285.0405329,"C15H10O6",0.67,0.4
285.0507854,"C16H15O1S1P1",0.94,0.06
285.0615704,"C12H14O8",1.17,0.67
285.0768741,"C16H14O5",0.88,0.31
285.0969583,"C7H19O6N4P1",2.71,0.86
285.0979763,"C13H18O7",1.38,0.54
285.1132143,"C17H18O4",1.06,0.24
285.1261004,"C14H23O4P1",1.64,0.29
285.1344131,"C14H22O6",1.57,0.43
285.1485058,"C12H23O2N4P1",1.92,0.17
285.1707608,"C15H26O5",1.73,0.33
286.1296127,"C13H21O6N1",1.62,0.46
287.0197673,"C14H8O7",0.57,0.5
287.040775,"C11H12O9",1.09,0.82
287.0560467,"C15H12O6",0.8,0.4
287.0596142,"C12H16O6S1",1.33,0.5
287.0773297,"C12H16O8",1.33,0.67
287.0917807,"C8H20O7N2S1",2.5,0.88
287.0919777,"C8H20O7N2S1",2.5,0.88
287.0924764,"C16H16O5",1,0.31
287.1136336,"C13H20O7",1.54,0.54
287.1289299,"C17H20O4",1.18,0.24
287.1499958,"C14H24O6",1.71,0.43
287.1653335,"C18H24O3",1.33,0.17
288.9543536,"C12H3O7P1",0.25,0.58
288.9866301,"C8H7O8N2P1",0.88,1
288.9990469,"C13H6O8",0.46,0.62
289.0354159,"C14H10O7",0.71,0.5
289.0706606,"C9H15O5N4P1",1.67,0.56
289.071036,"C7H18O8N2S1",2.57,1.14
289.0717879,"C15H14O6",0.93,0.4
289.0930247,"C12H18O8",1.5,0.67
289.1081692,"C16H18O5",1.12,0.31
289.1292489,"C13H22O7",1.69,0.54
289.1445273,"C17H22O4",1.29,0.24
289.1657043,"C14H26O6",1.86,0.43
289.9868741,"C13H10O1N1S2P1",0.77,0.08
290.9691243,"C15H4O1N2S2",0.27,0.07
291.0146541,"C13H8O8",0.62,0.62
291.051013,"C14H12O7",0.86,0.5
291.0874231,"C15H16O6",1.07,0.4
291.1238399,"C16H20O5",1.25,0.31
291.1600847,"C17H24O4",1.41,0.24
291.1602847,"C17H24O4",1.41,0.24
291.9532433,"C15H3O2N1S2",0.2,0.13
292.0048732,"C9H12O6N1S1P1",1.33,0.67
292.9939022,"C12H6O9",0.5,0.75
293.0303156,"C13H10O8",0.77,0.62
293.033725,"C10H14O8S1",1.4,0.8
293.06579,"C8H15O6N4P1",1.88,0.75
293.066666,"C14H14O7",1,0.5
293.1030342,"C15H18O6",1.2,0.4
293.1394891,"C16H22O5",1.38,0.31
293.172795,"C13H30O1N2S2",2.31,0.08
293.1758736,"C17H26O4",1.53,0.24
293.1792567,"C14H30O4S1",2.14,0.29
293.9890556,"C11H5O9N1",0.45,0.82
295.0095176,"C12H8O9",0.67,0.75
295.0247637,"C16H8O6",0.5,0.38
295.0447896,"C7H13O7N4P1",1.86,1
295.0459355,"C13H12O8",0.92,0.62
295.0546933,"C16H12O2N2S1",0.75,0.12
295.0611881,"C17H12O5",0.71,0.29
295.082354,"C14H16O7",1.14,0.5
295.1187195,"C15H20O6",1.33,0.4
295.1550455,"C16H24O5",1.5,0.31
295.1552088,"C16H24O5",1.5,0.31
295.9836537,"C14H3O7N1",0.21,0.5
297.0041422,"C15H6O7",0.4,0.47
297.025195,"C12H10O9",0.83,0.75
297.0404429,"C16H10O6",0.62,0.38
297.0615948,"C13H14O8",1.08,0.62
297.0768177,"C17H14O5",0.82,0.29
297.0968925,"C8H19O6N4P1",2.38,0.75
297.0979705,"C14H18O7",1.29,0.5
297.1132841,"C18H18O4",1,0.22
297.1343544,"C15H22O6",1.47,0.4
297.1529615,"C16H26O3S1",1.62,0.19
297.1553921,"C12H26O8",2.17,0.67
297.1707548,"C16H26O5",1.62,0.31
297.1859764,"C20H26O2",1.3,0.1
298.0155295,"C8H14O7N1S1P1",1.75,0.88
298.125608,"C9H21O8N3",2.33,0.89
299.0180861,"C9H17O5S2P1",1.89,0.56
299.0197234,"C15H8O7",0.53,0.47
299.0270571,"C9H8O8N4",0.89,0.89
299.0408571,"C12H12O9",1,0.75
299.0551286,"C10H13O5N4P1",1.3,0.5
299.0560954,"C16H12O6",0.75,0.38
299.0772666,"C13H16O8",1.23,0.62
299.0876532,"C14H21O3S1P1",1.5,0.21
299.0917539,"C9H20O7N2S1",2.22,0.78
299.0925397,"C17H16O5",0.94,0.29
299.1135924,"C14H20O7",1.43,0.5
299.1277719,"C12H21O3N4P1",1.75,0.25
299.149995,"C15H24O6",1.6,0.4
299.1652969,"C19H24O3",1.26,0.16
299.1863352,"C16H28O5",1.75,0.31
299.1894226,"C15H29O2N2P1",1.93,0.13
299.2590857,"C18H36O3",2,0.17
300.0133532,"C8H16O5N1S2P1",2,0.62
300.9989993,"C14H6O8",0.43,0.57
301.0353654,"C15H10O7",0.67,0.47
301.0565088,"C12H14O9",1.17,0.75
301.0706436,"C10H15O5N4P1",1.5,0.5
301.0708484,"C10H15O5N4P1",1.5,0.5
301.0717396,"C16H14O6",0.88,0.38
301.0928911,"C13H18O8",1.38,0.62
301.1081563,"C17H18O5",1.06,0.29
301.1292424,"C14H22O7",1.57,0.5
301.1445371,"C18H22O4",1.22,0.22
301.1656991,"C15H26O6",1.73,0.4
301.1808766,"C19H26O3",1.37,0.16
301.2020941,"C16H30O5",1.88,0.31
302.091193,"C11H18O5N3P1",1.64,0.45
302.1398309,"C17H21O4N1",1.24,0.24
302.1720908,"C13H25O5N3",1.92,0.38
303.0136812,"C8H9O7N4P1",1.12,0.88
303.0146346,"C14H8O8",0.57,0.57
303.0500612,"C9H13O6N4P1",1.44,0.67
303.0510183,"C15H12O7",0.8,0.47
303.0720762,"C12H16O9",1.33,0.75
303.0722981,"C12H16O9",1.33,0.75
303.0862799,"C10H17O5N4P1",1.7,0.5
303.086452,"C8H20O8N2S1",2.5,1
303.0866101,"C8H20O8N2S1",2.5,1
303.0874211,"C16H16O6",1,0.38
303.0985733,"C15H16O5N2",1.07,0.33
303.1085256,"C13H20O8",1.54,0.62
303.1086908,"C13H20O8",1.54,0.62
303.1237574,"C17H20O5",1.18,0.29
303.1448771,"C14H24O7",1.71,0.5
303.1450691,"C14H24O7",1.71,0.5
303.1591181,"C12H25O3N4P1",2.08,0.25
303.1601908,"C18H24O4",1.33,0.22
303.18126,"C15H28O6",1.87,0.4
303.195613,"C13H29O2N4P1",2.23,0.15
304.0165233,"C7H15O8N1S2",2.14,1.14
304.046262,"C14H11O7N1",0.79,0.5
304.9939727,"C13H6O9",0.46,0.69
305.0302707,"C14H10O8",0.71,0.57
305.0656332,"C9H15O6N4P1",1.67,0.67
305.0666855,"C15H14O7",0.93,0.47
305.0779843,"C14H14O6N2",1,0.43
305.1019423,"C10H19O5N4P1",1.9,0.5
305.1030729,"C16H18O6",1.12,0.38
305.1242308,"C13H22O8",1.69,0.62
305.1384525,"C11H23O4N4P1",2.09,0.36
305.1394032,"C17H22O5",1.29,0.29
305.1605808,"C14H26O7",1.86,0.5
305.1758837,"C18H26O4",1.44,0.22
306.0983262,"C15H17O6N1",1.13,0.4
307.0084651,"C7H9O8N4P1",1.29,1.14
307.0095441,"C13H8O9",0.62,0.69
307.0449897,"C8H13O7N4P1",1.62,0.88
307.0459336,"C14H12O8",0.86,0.57
307.0823253,"C15H16O7",1.07,0.47
307.0936215,"C14H16O6N2",1.14,0.43
307.1177342,"C10H21O5N4P1",2.1,0.5
307.1187215,"C16H20O6",1.25,0.38
307.1426835,"C12H25O5N2P1",2.08,0.42
307.1541481,"C11H25O4N4P1",2.27,0.36
307.1550669,"C17H24O5",1.41,0.29
307.1552509,"C17H24O5",1.41,0.29
307.162284,"C11H24O6N4",2.18,0.55
307.1914614,"C18H28O4",1.56,0.22
307.1948133,"C15H32O4S1",2.13,0.27
308.0015164,"C8H11O6N3S2",1.38,0.75
308.0776283,"C14H15O7N1",1.07,0.5
309.0240894,"C7H11O8N4P1",1.57,1.14
309.0242902,"C7H11O8N4P1",1.57,1.14
309.0252012,"C13H10O9",0.77,0.69
309.0404834,"C17H10O6",0.59,0.35
309.0605211,"C8H15O7N4P1",1.88,0.88
309.0606827,"C8H15O7N4P1",1.88,0.88
309.0615948,"C14H14O8",1,0.57
309.0727721,"C13H14O7N2",1.08,0.54
309.0768027,"C18H14O5",0.78,0.28
309.0953966,"C19H18O2S1",0.95,0.11
309.0969369,"C9H19O6N4P1",2.11,0.67
309.0979836,"C15H18O7",1.2,0.47
309.1131574,"C19H18O4",0.95,0.21
309.1133541,"C19H18O4",0.95,0.21
