"sat_level","Class","rel_abund","se","relative_abundance"
"100","AminoSugar",0.71,0.11,"0.71 ± 0.11"
"100","Carb",0.35,0.06,"0.35 ± 0.06"
"100","ConHC",14.12,2.56,"14.12 ± 2.56"
"100","Lignin",52.39,1.06,"52.39 ± 1.06"
"100","Lipid",4.75,1.28,"4.75 ± 1.28"
"100","Other",0.65,0.11,"0.65 ± 0.11"
"100","Protein",15.93,2.87,"15.93 ± 2.87"
"100","Tannin",10.85,2.65,"10.85 ± 2.65"
"100","UnsatHC",0.25,0.08,"0.25 ± 0.08"
"50","AminoSugar",1.15,0.07,"1.15 ± 0.07"
"50","Carb",0.72,0.04,"0.72 ± 0.04"
"50","ConHC",16.77,0.2,"16.77 ± 0.2"
"50","Lignin",50.64,0.3,"50.64 ± 0.3"
"50","Lipid",2.85,0.06,"2.85 ± 0.06"
"50","Other",0.84,0.03,"0.84 ± 0.03"
"50","Protein",13.27,0.18,"13.27 ± 0.18"
"50","Tannin",13.51,0.19,"13.51 ± 0.19"
"50","UnsatHC",0.23,0.03,"0.23 ± 0.03"
"FM","AminoSugar",0.83,0.07,"0.83 ± 0.07"
"FM","Carb",0.7,0.06,"0.7 ± 0.06"
"FM","ConHC",17.48,0.18,"17.48 ± 0.18"
"FM","Lignin",53.09,0.1,"53.09 ± 0.1"
"FM","Lipid",3.37,0.07,"3.37 ± 0.07"
"FM","Other",0.56,0.03,"0.56 ± 0.03"
"FM","Protein",12.99,0.13,"12.99 ± 0.13"
"FM","Tannin",10.69,0.09,"10.69 ± 0.09"
"FM","UnsatHC",0.29,0.04,"0.29 ± 0.04"
